player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td,updated_date
Tyreek Hill,,,,,,9.3,55.7,0.5,0.4,195.6,MIA,WR,106.3,"1,402.9",7.9,09.01.2023
Cooper Kupp,,,,,,8.1,73.8,0.8,0.8,192.1,LAR,WR,105.5,"1,318.0",8.3,09.01.2023
CeeDee Lamb,,,,,,8.9,56.7,0.3,0.3,184.6,DAL,WR,99.3,"1,308.4",7.8,09.01.2023
Davante Adams,,,,,,1.8,7.7,0.1,0.3,179.7,LV,WR,94.2,"1,276.1",8.6,09.01.2023
Stefon Diggs,,,,,,0.6,3.4,0.0,0.4,179.0,BUF,WR,97.2,"1,283.5",8.5,09.01.2023
A.J. Brown,,,,,,0.3,4.1,0.1,0.6,171.6,PHI,WR,77.9,"1,211.4",8.5,09.01.2023
Jaylen Waddle,,,,,,4.1,34.5,0.2,0.7,160.9,MIA,WR,80.6,"1,176.1",6.6,09.01.2023
Amon-Ra St. Brown,,,,,,8.2,64.2,0.5,0.2,159.7,DET,WR,101.2,"1,156.5",5.8,09.01.2023
Garrett Wilson,,,,,,2.5,6.4,0.0,0.8,157.5,NYJ,WR,85.3,"1,176.1",6.8,09.01.2023
Deebo Samuel,,,,,,42.7,251.2,2.4,1.4,151.2,SF,WR,69.1,899.7,4.1,09.01.2023
Chris Olave,,,,,,0.0,0.1,0.0,1.3,150.3,NO,WR,82.8,"1,175.1",5.9,09.01.2023
Tee Higgins,,,,,,0.5,2.5,0.0,0.3,148.7,CIN,WR,80.4,"1,086.6",6.7,09.01.2023
Christian Watson,,,,,,8.6,69.6,1.0,0.2,147.5,GB,WR,69.4,971.3,6.3,09.01.2023
DK Metcalf,,,,,,0.1,1.1,0.0,0.8,145.6,SEA,WR,82.9,"1,030.9",7.3,09.01.2023
Amari Cooper,,,,,,0.5,1.6,0.0,0.1,145.0,CLE,WR,72.7,"1,028.5",7.0,09.01.2023
DeVonta Smith,,,,,,0.0,0.1,0.0,0.6,143.2,PHI,WR,83.3,"1,058.3",6.4,09.01.2023
Calvin Ridley,,,,,,2.3,7.8,0.0,0.5,142.6,JAC,WR,80.7,"1,028.8",6.6,09.01.2023
DJ Moore,,,,,,6.0,37.1,0.1,0.3,138.7,CHI,WR,67.5,955.9,6.6,09.01.2023
Mike Evans,,,,,,0.0,6.8,0.0,0.1,135.4,TB,WR,71.3,998.9,5.9,09.01.2023
Mike Williams,,,,,,1.0,4.5,0.0,0.1,135.2,LAC,WR,70.3,984.6,6.1,09.01.2023
Keenan Allen,,,,,,1.3,7.5,0.0,0.7,134.9,LAC,WR,90.7,"1,006.7",5.8,09.01.2023
Terry McLaurin,,,,,,3.3,20.2,0.1,0.2,132.5,WAS,WR,72.2,"1,017.4",4.8,09.01.2023
Christian Kirk,,,,,,3.5,21.2,0.1,0.5,129.6,JAC,WR,74.2,923.5,5.9,09.01.2023
DeAndre Hopkins,,,,,,0.1,1.1,0.0,0.7,129.4,TEN,WR,78.6,988.1,5.3,09.01.2023
Tyler Lockett,,,,,,0.2,0.7,0.0,0.6,125.6,SEA,WR,76.2,914.6,5.9,09.01.2023
Brandon Aiyuk,,,,,,2.8,18.6,0.2,0.6,125.1,SF,WR,64.9,900.9,5.5,09.01.2023
Jerry Jeudy,,,,,,1.5,14.2,0.0,0.2,124.8,DEN,WR,66.4,953.6,4.7,09.01.2023
Drake London,,,,,,0.0,0.1,0.0,1.8,123.1,ATL,WR,75.8,938.8,5.5,09.01.2023
Jahan Dotson,,,,,,3.0,10.8,0.1,0.2,122.9,WAS,WR,60.4,850.0,6.1,09.01.2023
Chris Godwin,,,,,,2.7,13.4,0.1,0.7,122.7,TB,WR,89.7,973.0,4.1,09.01.2023
Gabe Davis,,,,,,0.1,0.7,0.0,0.4,121.1,BUF,WR,51.6,827.0,6.5,09.01.2023
George Pickens,,,,,,2.8,18.0,0.4,0.2,121.1,PIT,WR,57.7,855.6,5.3,09.01.2023
Diontae Johnson,,,,,,4.5,25.5,0.0,0.5,120.2,PIT,WR,81.0,923.9,4.4,09.01.2023
Marquise Brown,,,,,,1.4,8.5,0.0,0.3,120.2,ARI,WR,76.7,906.0,4.8,09.01.2023
Michael Pittman Jr.,,,,,,2.4,22.0,0.0,0.5,114.8,IND,WR,77.4,881.2,4.2,09.01.2023
Brandin Cooks,,,,,,3.0,19.5,0.1,0.1,113.4,DAL,WR,62.5,821.9,4.8,09.01.2023
Jordan Addison,,,,,,2.5,14.1,0.1,0.7,111.6,MIN,WR,60.5,812.3,5.0,09.01.2023
Courtland Sutton,,,,,,0.5,2.7,0.0,0.1,110.4,DEN,WR,62.4,840.7,4.4,09.01.2023
Treylon Burks,,,,,,6.9,52.6,0.1,0.2,108.6,TEN,WR,58.3,793.4,4.0,09.01.2023
Zay Flowers,,,,,,2.1,15.0,0.1,0.7,105.0,BAL,WR,55.0,754.0,4.8,09.01.2023
Michael Thomas,,,,,,0.3,1.1,0.0,0.2,104.1,NO,WR,67.5,770.9,4.5,09.01.2023
Jaxon Smith-Njigba,,,,,,1.2,8.6,0.0,0.7,103.3,SEA,WR,56.2,765.7,4.5,09.01.2023
JuJu Smith-Schuster,,,,,,0.2,1.0,0.1,0.7,103.0,NE,WR,73.7,807.5,3.9,09.01.2023
Nico Collins,,,,,,0.0,0.2,0.0,0.1,98.6,HOU,WR,57.5,725.0,4.4,09.01.2023
Allen Lazard,,,,,,2.1,12.4,0.0,0.1,98.2,NYJ,WR,54.6,688.4,4.7,09.01.2023
Odell Beckham Jr.,,,,,,1.6,19.1,0.2,0.2,97.2,BAL,WR,51.1,676.4,4.4,09.01.2023
Jakobi Meyers,,,,,,1.1,3.7,0.0,0.7,97.1,LV,WR,62.6,750.2,3.8,09.01.2023
Skyy Moore,,,,,,5.6,34.9,0.2,2.1,96.5,KC,WR,57.1,703.7,4.3,09.01.2023
DJ Chark Jr.,,,,,,0.1,1.4,0.0,0.1,95.2,CAR,WR,46.6,720.8,3.9,09.01.2023
Tyler Boyd,,,,,,1.5,8.9,0.0,0.2,95.2,CIN,WR,58.2,712.7,3.9,09.01.2023
Michael Gallup,,,,,,0.0,0.2,0.0,0.1,93.3,DAL,WR,50.1,660.0,4.6,09.01.2023
Darnell Mooney,,,,,,2.0,9.9,0.1,0.1,92.3,CHI,WR,52.8,672.4,4.0,09.01.2023
Zay Jones,,,,,,1.9,8.5,0.0,0.2,92.1,JAC,WR,61.3,675.2,4.0,09.01.2023
Marquez Valdes-Scantling,,,,,,0.7,1.9,0.0,0.1,91.6,KC,WR,41.9,674.9,4.0,09.01.2023
Romeo Doubs,,,,,,0.7,6.4,0.0,0.7,90.1,GB,WR,55.9,658.0,4.2,09.01.2023
Jonathan Mingo,,,,,,1.3,12.8,0.1,0.4,89.4,CAR,WR,48.7,674.7,3.5,09.01.2023
DeVante Parker,,,,,,0.0,0.2,0.0,0.1,89.2,NE,WR,46.8,669.5,3.7,09.01.2023
Adam Thielen,,,,,,0.6,4.0,0.0,0.1,89.2,CAR,WR,54.3,633.3,4.2,09.01.2023
Quentin Johnston,,,,,,2.4,14.1,0.1,0.7,89.0,LAC,WR,47.0,663.3,3.7,09.01.2023
Kadarius Toney,,,,,,10.2,86.0,1.1,0.6,88.6,KC,WR,43.9,521.8,3.7,09.01.2023
Rondale Moore,,,,,,14.2,62.5,0.2,0.4,88.2,ARI,WR,65.9,686.6,2.2,09.01.2023
Curtis Samuel,,,,,,27.1,146.0,0.9,0.5,85.2,WAS,WR,47.9,511.6,2.5,09.01.2023
Van Jefferson,,,,,,0.7,5.0,0.0,0.1,83.8,LAR,WR,42.0,605.3,3.8,09.01.2023
Elijah Moore,,,,,,6.2,31.0,0.3,0.1,83.4,CLE,WR,44.5,598.8,3.2,09.01.2023
K.J. Osborn,,,,,,2.9,14.3,0.1,0.2,83.3,MIN,WR,49.5,563.7,4.2,09.01.2023
Donovan Peoples-Jones,,,,,,0.4,0.5,0.0,0.6,81.4,CLE,WR,43.4,640.3,3.1,09.01.2023
Jayden Reed,,,,,,3.4,21.0,0.1,0.7,80.8,GB,WR,46.8,607.1,3.1,09.01.2023
Rashod Bateman,,,,,,0.0,0.2,0.0,0.9,79.1,BAL,WR,41.1,619.6,3.1,09.01.2023
Hunter Renfrow,,,,,,0.4,3.7,0.0,0.6,79.1,LV,WR,61.1,595.9,3.4,09.01.2023
Mecole Hardman Jr.,,,,,,7.8,54.2,0.7,0.7,79.1,NYJ,WR,44.5,522.4,3.1,09.01.2023
Marvin Mims Jr.,,,,,,1.2,9.2,0.0,0.7,78.8,DEN,WR,44.2,599.5,3.2,09.01.2023
Jameson Williams,,,,,,1.9,20.7,0.1,0.5,77.4,DET,WR,37.5,570.1,3.1,09.01.2023
Alec Pierce,,,,,,0.0,0.2,0.0,0.1,77.0,IND,WR,42.0,615.3,2.6,09.01.2023
Isaiah Hodgins,,,,,,0.0,0.6,0.0,0.6,74.6,NYG,WR,44.9,498.6,4.3,09.01.2023
Rashid Shaheed,,,,,,3.6,41.2,0.7,0.1,72.8,NO,WR,33.6,516.3,2.1,09.01.2023
Kendrick Bourne,,,,,,5.2,37.0,0.2,0.3,72.8,NE,WR,44.7,542.1,2.4,09.01.2023
Darius Slayton,,,,,,0.5,1.8,0.0,0.5,69.6,NYG,WR,38.1,562.1,2.4,09.01.2023
Robert Woods,,,,,,4.0,19.9,0.2,0.4,69.6,HOU,WR,52.7,525.4,2.5,09.01.2023
Chase Claypool,,,,,,5.4,36.6,0.2,0.5,68.8,CHI,WR,35.9,491.7,2.6,09.01.2023
Marvin Jones Jr.,,,,,,0.1,0.5,0.0,0.1,68.3,DET,WR,38.7,494.4,3.2,09.01.2023
Mack Hollins,,,,,,0.4,11.8,0.1,0.2,66.4,ATL,WR,42.1,489.3,2.7,09.01.2023
Rashee Rice,,,,,,1.1,7.6,0.0,0.4,65.7,KC,WR,33.4,477.1,3.0,09.01.2023
John Metchie III,,,,,,0.8,7.2,0.0,0.2,63.9,HOU,WR,38.6,487.9,2.4,09.01.2023
Joshua Palmer,,,,,,0.5,1.9,0.0,0.1,62.1,LAC,WR,41.3,483.0,2.3,09.01.2023
Allen Robinson II,,,,,,0.1,0.4,0.0,0.1,62.1,PIT,WR,38.8,466.4,2.6,09.01.2023
Parris Campbell,,,,,,3.3,34.2,0.1,0.3,61.0,NYG,WR,38.3,437.7,2.3,09.01.2023
Russell Gage,,,,,,0.7,1.8,0.0,0.3,60.5,TB,WR,60.5,498.1,1.8,09.01.2023
Wan'Dale Robinson,,,,,,2.7,13.4,0.1,0.5,59.2,NYG,WR,40.0,463.5,2.0,09.01.2023
Josh Reynolds,,,,,,0.2,0.4,0.0,0.2,54.9,DET,WR,30.6,414.1,2.3,09.01.2023
Jalin Hyatt,,,,,,1.1,8.2,0.0,0.4,54.5,NYG,WR,30.1,420.7,2.0,09.01.2023
Nick Westbrook-Ikhine,,,,,,0.0,0.4,0.0,0.2,54.0,TEN,WR,29.1,398.9,2.4,09.01.2023
Tank Dell,,,,,,1.0,6.5,0.0,0.6,51.9,HOU,WR,30.9,419.9,1.7,09.01.2023
Isaiah McKenzie,,,,,,7.9,48.6,0.2,0.1,51.8,IND,WR,33.3,350.2,1.8,09.01.2023
Michael Wilson,,,,,,0.5,6.2,0.0,0.2,50.7,ARI,WR,34.2,413.1,1.5,09.01.2023
Tyquan Thornton,,,,,,2.7,10.6,0.9,0.0,49.1,NE,WR,24.0,321.1,1.8,09.01.2023
Terrace Marshall Jr.,,,,,,0.0,0.1,0.0,0.1,48.7,CAR,WR,25.1,397.5,1.5,09.01.2023
Greg Dortch,,,,,,5.9,43.1,0.1,0.5,47.5,ARI,WR,35.8,354.6,1.4,09.01.2023
Sterling Shepard,,,,,,2.5,15.4,0.1,0.1,47.1,NYG,WR,30.5,349.4,1.7,09.01.2023
Josh Downs,,,,,,0.8,6.7,0.0,0.2,47.1,IND,WR,25.8,368.6,1.6,09.01.2023
Tutu Atwell,,,,,,7.1,34.8,0.4,0.2,46.9,LAR,WR,23.4,337.2,1.3,09.01.2023
Khalil Shakir,,,,,,1.1,6.3,0.1,0.2,46.4,BUF,WR,24.2,362.5,1.6,09.01.2023
Randall Cobb,,,,,,0.2,0.6,0.0,0.2,45.5,NYJ,WR,30.7,341.3,2.0,09.01.2023
Ben Skowronek,,,,,,0.4,4.9,0.3,0.0,45.5,LAR,WR,33.5,348.7,1.4,09.01.2023
Trey Palmer,,,,,,0.4,5.2,0.1,0.1,44.5,TB,WR,30.2,348.2,1.5,09.01.2023
Laviska Shenault Jr.,,,,,,16.6,84.3,0.7,0.2,43.0,CAR,WR,21.8,258.6,0.9,09.01.2023
Braxton Berrios,,,,,,1.6,18.7,0.3,0.3,42.8,MIA,WR,27.1,306.0,1.5,09.01.2023
Marquez Callaway,,,,,,0.0,0.5,0.0,0.0,39.7,LV,WR,34.8,293.0,1.7,09.01.2023
Deonte Harty,,,,,,2.6,17.5,0.1,0.4,37.6,BUF,WR,23.9,285.7,1.3,09.01.2023
Richie James Jr.,,,,,,0.5,1.4,0.0,1.2,37.2,KC,WR,20.8,288.4,1.8,09.01.2023
Cedrick Wilson Jr.,,,,,,0.3,0.7,0.0,0.1,37.2,MIA,WR,26.6,281.3,1.5,09.01.2023
Quez Watkins,,,,,,0.5,0.9,0.0,0.2,36.9,PHI,WR,19.5,290.4,1.4,09.01.2023
Cedric Tillman,,,,,,0.6,3.9,0.0,0.2,36.1,CLE,WR,17.4,294.3,1.1,09.01.2023
Puka Nacua,,,,,,0.6,4.5,0.0,0.2,35.9,LAR,WR,20.8,292.4,1.1,09.01.2023
Kalif Raymond,,,,,,2.4,23.6,0.2,0.2,35.9,DET,WR,20.7,250.0,1.3,09.01.2023
Jauan Jennings,,,,,,0.0,0.2,0.0,0.1,34.4,SF,WR,21.7,267.4,1.3,09.01.2023
Noah Brown,,,,,,0.1,0.4,0.0,0.2,33.8,HOU,WR,23.5,277.9,1.1,09.01.2023
Demario Douglas,,,,,,0.4,2.1,0.0,0.1,33.7,NE,WR,32.7,280.7,1.0,09.01.2023
Kayshon Boutte,,,,,,0.8,5.8,0.0,0.1,33.7,NE,WR,18.3,274.2,0.9,09.01.2023
Dyami Brown,,,,,,2.0,14.6,0.0,0.0,33.3,WAS,WR,13.3,217.1,1.7,09.01.2023
Olamide Zaccheaus,,,,,,0.6,2.2,0.0,0.3,32.7,PHI,WR,20.1,255.9,1.3,09.01.2023
Jamal Agnew,,,,,,5.9,52.6,0.3,0.2,31.8,JAC,WR,20.6,187.4,1.1,09.01.2023
Trent Sherfield,,,,,,0.0,0.6,0.0,0.1,31.1,BUF,WR,17.3,241.2,1.2,09.01.2023
Marquise Goodwin,,,,,,1.5,7.9,0.0,0.0,29.7,CLE,WR,14.9,208.0,1.3,09.01.2023
Xavier Hutchinson,,,,,,1.1,6.8,0.1,0.2,28.9,HOU,WR,0.0,274.4,0.1,09.01.2023
Deven Thompkins,,,,,,0.2,9.6,0.1,0.1,28.0,TB,WR,19.9,212.6,0.9,09.01.2023
Zach Pascal,,,,,,0.1,1.1,0.0,0.1,27.9,ARI,WR,20.9,215.5,1.1,09.01.2023
Kyle Philips,,,,,,0.7,3.7,0.0,0.2,27.7,TEN,WR,16.6,225.6,0.8,09.01.2023
Charlie Jones,,,,,,0.7,5.5,0.0,0.5,26.1,CIN,WR,15.8,203.3,1.0,09.01.2023
Demarcus Robinson,,,,,,0.0,0.2,0.0,0.1,25.8,LAR,WR,19.7,204.1,0.9,09.01.2023
Calvin Austin III,,,,,,0.4,3.7,0.0,0.1,25.4,PIT,WR,14.8,206.1,0.7,09.01.2023
Trenton Irwin,,,,,,0.1,1.3,0.0,0.1,25.0,CIN,WR,16.7,185.8,1.1,09.01.2023
KhaDarel Hodge,,,,,,0.0,3.0,0.0,0.1,24.5,ATL,WR,15.6,182.7,1.0,09.01.2023
Samori Toure,,,,,,0.6,4.1,0.0,0.1,23.5,GB,WR,14.0,182.3,0.8,09.01.2023
Cade Johnson,,,,,,0.0,1.7,0.0,0.0,23.3,SEA,WR,14.6,168.0,1.1,09.01.2023
Justyn Ross,,,,,,0.5,3.0,0.0,0.1,23.1,KC,WR,9.5,181.3,0.8,09.01.2023
Dontayvion Wicks,,,,,,0.3,4.2,0.0,0.1,22.8,GB,WR,17.0,176.5,0.8,09.01.2023
Justin Watson,,,,,,0.0,0.2,0.0,0.0,22.5,KC,WR,11.2,172.1,0.9,09.01.2023
Devin Duvernay,,,,,,4.5,41.4,0.2,0.1,21.5,BAL,WR,7.0,133.4,0.4,09.01.2023
Rakim Jarrett,,,,,,0.1,4.3,0.0,0.0,21.2,TB,WR,18.2,154.8,0.8,09.01.2023
Chris Moore,,,,,,0.2,2.4,0.0,0.0,21.2,TEN,WR,13.6,169.5,0.7,09.01.2023
Jalen Virgil,,,,,,0.0,0.0,0.0,0.0,20.6,DEN,WR,11.7,151.7,0.9,09.01.2023
Brandon Johnson,,,,,,0.1,1.8,0.0,0.1,19.7,DEN,WR,13.9,141.2,0.9,09.01.2023
Jalen Tolbert,,,,,,0.6,3.4,0.0,0.1,18.8,DAL,WR,8.4,151.9,0.6,09.01.2023
Britain Covey,,,,,,0.0,6.7,0.1,0.0,18.7,PHI,WR,8.4,130.4,0.8,09.01.2023
Amari Rodgers,,,,,,0.5,7.0,0.0,0.1,18.7,IND,WR,16.8,141.5,0.7,09.01.2023
David Bell,,,,,,0.0,0.2,0.0,0.0,18.4,CLE,WR,9.0,162.5,0.4,09.01.2023
Tre Nixon,,,,,,0.0,6.3,0.0,0.0,18.1,NE,WR,8.6,126.9,0.8,09.01.2023
DeAndre Carter,,,,,,0.5,7.3,0.0,0.2,18.1,LV,WR,11.1,141.4,0.6,09.01.2023
Equanimeous St. Brown,,,,,,1.1,12.3,0.0,0.0,16.8,CHI,WR,8.3,120.2,0.6,09.01.2023
Tre'Quan Smith,,,,,,0.0,0.3,0.0,0.0,16.8,NO,WR,9.9,127.4,0.7,09.01.2023
Jakeem Grant Sr.,,,,,,0.0,50.8,0.3,0.0,16.6,CLE,WR,7.3,79.7,0.3,09.01.2023
Brandon Powell,,,,,,2.7,31.5,0.1,0.2,16.5,MIN,WR,11.5,103.2,0.5,09.01.2023
Velus Jones Jr.,,,,,,1.9,36.2,0.2,0.1,16.5,CHI,WR,6.1,98.9,0.4,09.01.2023
Dee Eskridge,,,,,,3.3,25.5,0.1,0.1,15.9,SEA,WR,10.5,102.5,0.4,09.01.2023
Byron Pringle,,,,,,2.5,14.6,0.1,0.1,15.8,WAS,WR,12.0,113.4,0.4,09.01.2023
Parker Washington,,,,,,0.3,1.8,0.0,0.1,15.7,JAC,WR,10.5,130.1,0.4,09.01.2023
A.T. Perry,,,,,,0.6,2.7,0.0,0.1,15.5,NO,WR,4.7,133.5,0.3,09.01.2023
Tre Tucker,,,,,,0.2,5.2,0.0,0.0,15.4,LV,WR,10.4,117.5,0.5,09.01.2023
Derius Davis,,,,,,0.3,5.8,0.0,0.1,15.4,LAC,WR,12.9,117.7,0.5,09.01.2023
Nelson Agholor,,,,,,0.2,0.9,0.0,0.2,15.1,BAL,WR,5.4,133.3,0.4,09.01.2023
River Cracraft,,,,,,0.2,1.0,0.0,0.1,15.0,MIA,WR,10.4,113.2,0.6,09.01.2023
Jalen Nailor,,,,,,0.2,1.5,0.0,0.1,14.7,MIN,WR,9.1,107.6,0.7,09.01.2023
Malik Heath,,,,,,0.1,3.4,0.0,0.0,14.7,GB,WR,11.6,109.9,0.6,09.01.2023
Jason Brownlee,,,,,,0.1,2.4,0.0,0.0,14.4,NYJ,WR,10.7,106.7,0.6,09.01.2023
Ronnie Bell,,,,,,0.1,3.7,0.0,0.0,13.9,SF,WR,11.3,100.9,0.6,09.01.2023
Tyler Scott,,,,,,1.0,3.3,0.0,0.1,13.1,CHI,WR,0.5,128.4,0.0,09.01.2023
Scott Miller,,,,,,0.3,3.3,0.0,0.0,12.7,ATL,WR,7.8,101.6,0.3,09.01.2023
Erik Ezukanma,,,,,,0.2,1.2,0.0,0.1,12.5,MIA,WR,8.5,95.7,0.5,09.01.2023
Keith Kirkwood,,,,,,0.3,1.3,0.0,0.1,12.2,NO,WR,9.3,97.7,0.4,09.01.2023
Andrei Iosivas,,,,,,0.5,3.0,0.0,0.1,11.8,CIN,WR,0.0,117.3,0.0,09.01.2023
Phillip Dorsett II,,,,,,0.1,0.8,0.0,0.0,11.8,DEN,WR,8.7,87.4,0.5,09.01.2023
Ray-Ray McCloud III,,,,,,3.3,26.7,0.2,0.1,11.6,SF,WR,5.5,62.3,0.3,09.01.2023
Steven Sims Jr.,,,,,,0.7,30.6,0.2,0.1,11.2,HOU,WR,4.7,59.6,0.2,09.01.2023
Dareke Young,,,,,,0.2,1.0,0.0,0.1,10.9,SEA,WR,7.5,84.4,0.4,09.01.2023
Gunner Olszewski,,,,,,3.3,26.6,0.1,0.1,10.8,PIT,WR,4.8,63.2,0.2,09.01.2023
KaVontae Turpin,,,,,,1.8,10.3,0.1,0.0,10.7,DAL,WR,6.5,69.5,0.4,09.01.2023
Justin Shorter,,,,,,0.4,2.7,0.0,0.1,10.6,BUF,WR,0.0,105.5,0.0,09.01.2023
Jalen Reagor,,,,,,1.9,14.7,0.0,0.1,10.0,NE,WR,5.5,69.9,0.2,09.01.2023
Dante Pettis,,,,,,0.0,5.7,0.0,0.0,9.9,CHI,WR,6.1,74.8,0.3,09.01.2023
Cody Thompson,,,,,,0.0,1.3,0.0,0.0,9.7,SEA,WR,5.5,71.7,0.4,09.01.2023
Dax Milne,,,,,,2.8,11.6,0.1,0.4,9.5,WAS,WR,5.8,73.2,0.2,09.01.2023
Cole Beasley,,,,,,0.0,0.2,0.0,0.0,9.0,NYG,WR,5.7,66.7,0.4,09.01.2023
Jalen Guyton,,,,,,0.7,2.8,0.0,0.0,8.9,LAC,WR,0.0,86.4,0.0,09.01.2023
Maurice Alexander,,,,,,0.0,0.0,0.0,0.0,8.9,DET,WR,4.9,65.2,0.4,09.01.2023
Ashton Dulin,,,,,,0.3,4.8,0.0,0.0,8.7,IND,WR,4.5,66.9,0.3,09.01.2023
Ihmir Smith-Marsette,,,,,,0.1,0.8,0.0,0.1,8.5,CAR,WR,6.4,71.1,0.3,09.01.2023
Antoine Green,,,,,,0.1,1.6,0.0,0.0,8.2,DET,WR,6.0,60.8,0.3,09.01.2023
Matthew Slater,,,,,,0.0,1.5,0.0,0.0,7.5,NE,WR,2.8,59.8,0.2,09.01.2023
Easop Winston Jr.,,,,,,0.0,3.9,0.0,0.0,6.8,SEA,WR,3.3,48.8,0.3,09.01.2023
Tim Jones,,,,,,0.2,1.1,0.0,0.1,6.7,JAC,WR,3.9,55.1,0.2,09.01.2023
Josh Ali,,,,,,0.1,2.6,0.0,0.0,6.6,ATL,WR,4.9,50.2,0.2,09.01.2023
Miles Boykin,,,,,,0.0,0.2,0.0,0.0,6.3,PIT,WR,3.2,53.8,0.1,09.01.2023
Colton Dowell,,,,,,0.1,2.1,0.0,0.0,6.1,TEN,WR,4.8,47.3,0.2,09.01.2023
Montrell Washington,,,,,,0.2,9.6,0.0,0.0,5.9,KC,WR,2.5,43.8,0.1,09.01.2023
Danny Gray,,,,,,0.4,1.9,0.0,0.1,5.8,SF,WR,1.5,53.3,0.1,09.01.2023
Lance McCutcheon,,,,,,0.0,0.7,0.0,0.0,5.2,HOU,WR,2.2,42.7,0.2,09.01.2023
Bo Melton,,,,,,0.1,1.7,0.0,0.0,5.0,GB,WR,3.7,39.7,0.1,09.01.2023
Michael Woods II,,,,,,0.0,0.0,0.0,0.0,4.9,CLE,WR,3.1,38.4,0.2,09.01.2023
Alex Bachman,,,,,,0.0,0.0,0.0,0.0,4.8,HOU,WR,3.3,38.2,0.2,09.01.2023
Lawrence Cager,,,,,,0.3,2.0,0.0,0.0,4.7,NYG,WR,0.0,45.1,0.0,09.01.2023
Andy Isabella,,,,,,0.1,6.8,0.1,0.0,4.7,BUF,WR,1.3,32.7,0.1,09.01.2023
Kirk Merritt,,,,,,0.0,5.5,0.0,0.0,4.4,NO,WR,1.3,29.1,0.1,09.01.2023
David Moore,,,,,,0.5,3.9,0.0,0.1,4.4,TB,WR,0.0,41.9,0.0,09.01.2023
Jalen Brooks,,,,,,0.3,1.1,0.0,0.0,4.3,DAL,WR,0.9,39.6,0.0,09.01.2023
Tylan Wallace,,,,,,0.3,1.2,0.0,0.1,4.3,BAL,WR,1.5,39.2,0.1,09.01.2023
Seth Williams,,,,,,0.0,1.4,0.0,0.0,4.1,JAC,WR,2.2,27.8,0.2,09.01.2023
Lil'Jordan Humphrey,,,,,,0.0,0.0,0.0,0.0,4.0,DEN,WR,0.0,39.6,0.0,09.01.2023
Stanley Morgan Jr.,,,,,,0.0,1.9,0.0,0.0,3.9,CIN,WR,1.6,31.9,0.1,09.01.2023
Chris Conley,,,,,,0.0,0.1,0.0,0.0,3.7,SF,WR,0.0,37.2,0.0,09.01.2023
Kearis Jackson,,,,,,0.0,1.6,0.0,0.0,3.7,TEN,WR,2.2,27.1,0.1,09.01.2023
Tanner Conner,,,,,,0.1,0.9,0.0,0.0,3.6,MIA,WR,0.0,34.9,0.0,09.01.2023
Irvin Charles,,,,,,0.1,0.9,0.0,0.0,3.6,NYJ,WR,0.0,34.9,0.0,09.01.2023
Jake Bobo,,,,,,0.1,0.9,0.0,0.0,3.6,SEA,WR,0.0,34.9,0.0,09.01.2023
Xavier Gipson,,,,,,0.1,0.9,0.0,0.0,3.6,NYJ,WR,0.0,34.9,0.0,09.01.2023
Andre Baccellia,,,,,,0.2,1.5,0.0,0.0,3.5,ARI,WR,0.0,33.7,0.0,09.01.2023
David Sills V,,,,,,0.2,1.5,0.0,0.0,3.5,DEN,WR,0.0,33.7,0.0,09.01.2023
Mike Strachan,,,,,,0.2,1.5,0.0,0.0,3.5,IND,WR,0.0,33.7,0.0,09.01.2023
Tyrie Cleveland,,,,,,0.2,1.5,0.0,0.0,3.5,PHI,WR,0.0,33.7,0.0,09.01.2023
Trent Taylor,,,,,,0.3,4.1,0.0,0.0,3.4,CHI,WR,1.3,25.4,0.1,09.01.2023
Penny Hart,,,,,,0.4,7.1,0.0,0.0,3.3,ATL,WR,0.0,26.3,0.0,09.01.2023
Joseph Ngata,,,,,,0.0,1.4,0.0,0.0,3.3,PHI,WR,1.9,23.7,0.1,09.01.2023
Quintez Cephus,,,,,,0.0,0.0,0.0,0.0,3.1,DET,WR,0.0,31.1,0.0,09.01.2023
Jaelon Darden,,,,,,0.0,2.6,0.0,0.0,2.5,CLE,WR,0.6,19.6,0.1,09.01.2023
Racey McMath,,,,,,0.2,1.3,0.0,0.0,2.4,IND,WR,0.7,21.5,0.0,09.01.2023
Greg Ward,,,,,,0.0,0.1,0.0,0.0,2.0,PHI,WR,2.5,15.1,0.1,09.01.2023
Laquon Treadwell,,,,,,0.0,0.2,0.0,0.0,1.1,BAL,WR,0.3,9.3,0.0,09.01.2023
Elijah Cooks,,,,,,0.0,0.0,0.0,0.0,0.0,JAC,WR,0.0,0.0,0.0,09.01.2023
Travis Kelce,,,,,,,,,0.6,182.1,KC,TE,105.1,"1,235.5",9.9,09.01.2023
Mark Andrews,,,,,,,,,0.2,129.5,BAL,TE,74.8,890.9,6.5,09.01.2023
T.J. Hockenson,,,,,,,,,0.5,117.7,MIN,TE,80.9,840.2,5.8,09.01.2023
George Kittle,,,,,,,,,0.5,113.8,SF,TE,61.3,786.7,5.9,09.01.2023
Darren Waller,,,,,,,,,0.3,111.2,NYG,TE,67.0,821.8,4.9,09.01.2023
Kyle Pitts,,,,,,,,,0.1,102.0,ATL,TE,59.2,783.4,4.0,09.01.2023
