player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td
Eric Gray,,,,,,12.4,51.0,0.0,2.0,11.3,NYG,RB,4.0,28.0,0.0
Pierre Strong Jr.,,,,,,11.1,47.8,0.3,0.5,12.5,CLE,RB,3.0,24.0,0.0
Ke'Shawn Vaughn,,,,,,26.0,110.1,0.0,1.0,22.8,TB,RB,4.0,27.0,0.0
Jordan Mason,,,,,,10.1,43.3,0.0,0.4,9.9,SF,RB,0.0,0.0,0.0
Michael Carter,,,,,,5.0,20.7,0.2,0.7,6.9,NYJ,RB,4.0,29.2,0.0
Zamir White,,,,,,0.0,0.0,0.0,0.3,5.8,LV,RB,0.7,0.0,0.0
Israel Abanikanda,,,,,,28.0,120.0,0.2,0.4,12.0,NYJ,RB,2.0,20.0,0.0
Chris Evans,,,,,,16.8,71.2,0.1,0.4,19.2,CIN,RB,9.5,68.6,0.0
Ameer Abdullah,,,,,,11.4,45.4,0.0,0.3,14.2,LV,RB,8.1,55.6,0.0
Trayveon Williams,,,,,,25.3,9.5,0.0,2.0,2.4,CIN,RB,0.5,4.3,0.0
Rico Dowdle,,,,,,37.0,89.0,0.0,0.2,14.0,DAL,RB,3.0,30.0,0.0
Chris Rodriguez Jr.,,,,,,32.4,134.1,0.0,0.3,13.0,WAS,RB,3.0,32.0,0.0
Raheem Blackshear,,,,,,11.6,48.9,0.0,1.0,12.9,CAR,RB,6.1,44.1,0.0
Kene Nwangwu,,,,,,37.6,72.8,0.0,0.3,20.9,MIN,RB,5.7,34.9,0.0
DeeJay Dallas,,,,,,4.4,18.6,0.0,0.2,6.3,SEA,RB,4.6,30.3,0.0
Deon Jackson,,,,,,14.0,49.7,0.0,1.0,15.2,IND,RB,4.8,43.2,0.0
Evan Hull,,,,,,25.6,6.7,0.1,0.5,1.6,IND,RB,0.2,2.6,0.0
Anthony McFarland Jr.,,,,,,5.0,20.9,0.0,0.2,6.6,PIT,RB,3.9,28.5,0.0
Boston Scott,,,,,,5.3,22.5,0.2,0.4,6.8,PHI,RB,1.0,8.0,0.0
Sincere McCormick,,,,,,30.0,135.0,1.0,0.0,12.0,LV,RB,4.0,39.0,0.0
Kenny McIntosh,,,,,,29.0,128.0,0.0,0.3,12.0,SEA,RB,4.0,37.0,0.0
Ty Montgomery,,,,,,8.9,38.4,0.0,0.2,13.0,NE,RB,9.2,69.0,0.0
Kyle Juszczyk,,,,,,4.9,13.0,0.0,0.1,17.0,SF,RB,9.4,84.6,0.0
